
---- PROCESS STARTING ON: Mon, 11 Mar 2013 13:05:11 +0000 ----

<configparse.ParameterDict instance at 0x1f2db00>
To be detected: vision/colorblob/other_targets.pkl
{'outputres': '160x120', 'video_source': 'naovideo', 'trainable': 'True', 'nao': '129.125.178.227', 'denoise_value': 5, 'port': 'Vision_51070', 'host': 'localhost', 'camera': 1, 'frequency': 10, 'targets': 'vision/colorblob/other_targets.pkl', 'inputres': '160x120'}
[2013-03-11 14:05:11,821][Borg.Brain.Util.IOPoll] INFO: Using epoll for IO Polls
[2013-03-11 14:05:11,821][Borg.Brain.Util.IOPoll] INFO: Set epoll to Edge Triggered mode
[2013-03-11 14:05:11,821][Borg.Brain.Util.IOManager] INFO: IOManager started
[2013-03-11 14:05:11,822][Borg.Brain.Util.IOManager] DEBUG: Registering disconnected IOWrapper
True
Number of target colors: 4
[2013-03-11 14:05:11,823][Borg.Brain.Util.IOManager] DEBUG: Registering disconnected IOWrapper
[2013-03-11 14:05:12,020][Borg.Brain.Util.IOManager] DEBUG: Registering IOWrapper with file descriptor 7
[2013-03-11 14:05:12,120][Borg.Brain.Util.IOManager] DEBUG: Registering IOWrapper with file descriptor 8
Using mouse clicking.
[2013-03-11 14:05:12,257][Borg.Brain.Vision.BlobDetector] WARNING: You did not set the list of recognizable objects. Use self.set_known_objects([list]) to do that
[2013-03-11 14:05:12,357][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI6\nsS'width'\np6\nI3\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI48\nsS'x'\nI156\ns."
[2013-03-11 14:05:12,358][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF20\nsS'height'\np5\nI5\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI3\nsS'x'\nI4\ns."
[2013-03-11 14:05:12,358][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF255.5\nsS'height'\np5\nI38\nsS'width'\np6\nI19\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI140\ns."
[2013-03-11 14:05:12,358][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF426.5\nsS'height'\np5\nI32\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI116\ns."
[2013-03-11 14:05:12,358][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF1149.5\nsS'height'\np5\nI38\nsS'width'\np6\nI38\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI70\ns."
[2013-03-11 14:05:12,358][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF36\nsS'height'\np5\nI5\nsS'width'\np6\nI10\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI16\ns."
[2013-03-11 14:05:12,358][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI70\nsS'height'\np5\nI38\nsS'surface'\np6\nF1149.5\nsS'width'\np7\nI38\nsa(dp8\nS'y'\nI1\nsS'x'\nI116\nsg5\nI32\nsg6\nF426.5\nsg7\nI18\nsa(dp9\nS'y'\nI1\nsS'x'\nI140\nsg5\nI38\nsg6\nF255.5\nsg7\nI19\nsa(dp10\nS'y'\nI1\nsS'x'\nI16\nsg5\nI5\nsg6\nF36\nsg7\nI10\nsa(dp11\nS'y'\nI3\nsS'x'\nI4\nsg5\nI5\nsg6\nF20\nsg7\nI6\nsa(dp12\nS'y'\nI48\nsS'x'\nI156\nsg5\nI6\nsg6\nF10\nsg7\nI3\nsasS'command'\np13\nS'observation'\np14\nsS'name'\np15\nS'combined_yellow'\np16\ns."
[2013-03-11 14:05:12,573][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF366\nsS'height'\np5\nI21\nsS'width'\np6\nI24\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI86\nsS'x'\nI10\ns."
